Intensity initial,Intensity final,Cs Con,NEA Con,CE
4500.884834,3638.208218,0.2,0.0,0.1
3098.09848,2476.29353,0.18,0.0,0.1
4857.520055,3839.726286,0.16,0.0,0.1
4700.58679,3753.668905,0.14,0.0,0.1
3489.322061,2991.509363,0.12,0.0,0.1
2524.454454,2491.668313,0.1,0.0,0.1
19342.06399,15206.09244,0.2,0.1,0.1
17059.26219,13139.84717,0.18,0.1,0.1
20470.48954,15763.89068,0.16,0.1,0.1
18136.04777,13788.25703,0.14,0.1,0.1
18555.94792,14870.3517,0.12,0.1,0.1
19933.75119,17345.06402,0.1,0.1,0.1
25215.53719,19880.56974,0.2,0.2,0.1
17167.63612,11440.65655,0.0,0.0,0.0
20129.70216,13250.68298,0.0,0.0,0.0
14590.78355,9930.403638,0.14,0.2,0.1
11294.54874,7413.058025,0.12,0.2,0.1
14192.32955,10069.03028,0.1,0.2,0.1
49843.26077,30277.5546,0.2,0.3,0.1
5688.385628,7296.45363,0.0,0.0,0.0
4822.007144,2163.741553,0.16,0.3,0.1
2937.965871,2141.015537,0.14,0.3,0.1
1276.622702,1277.567074,0.12,0.3,0.1
2159.529439,1441.958896,0.1,0.3,0.1
20710.94715,22225.80103,0.2,0.4,0.1
6853.495203,16844.4149,0.0,0.0,0.0
8981.390526,13977.4316,0.16,0.4,0.1
11760.64578,13308.53946,0.14,0.4,0.1
8372.462915,7486.057919,0.12,0.4,0.1
555.9108113,436.3446978,0.1,0.4,0.1
